id,station,date,prcp,tobs
1071,USC00519397,3/23/2010,0,68
1072,USC00519397,3/24/2010,0,74
1073,USC00519397,3/26/2010,,72
1074,USC00519397,3/27/2010,0,72
1075,USC00519397,3/28/2010,0,73
1076,USC00519397,3/29/2010,0,74
1077,USC00519397,3/30/2010,0,73
1078,USC00519397,3/31/2010,0,73
1079,USC00519397,4/1/2010,0,74
1080,USC00519397,4/2/2010,0.01,74
1081,USC00519397,4/3/2010,0.17,74
1082,USC00519397,4/4/2010,0.15,71
1083,USC00519397,4/5/2010,0.27,72
1084,USC00519397,4/6/2010,0.01,75
1085,USC00519397,4/8/2010,0,75
1086,USC00519397,4/9/2010,0.01,75
1087,USC00519397,4/10/2010,0,75
1088,USC00519397,4/11/2010,0.01,73
1089,USC00519397,4/12/2010,0.01,73
1090,USC00519397,4/13/2010,0,71
1091,USC00519397,4/15/2010,0,71
1092,USC00519397,4/16/2010,0.01,68
1093,USC00519397,4/17/2010,0,70
1094,USC00519397,4/18/2010,0,71
1095,USC00519397,4/19/2010,0,74
1096,USC00519397,4/20/2010,0.04,71
1097,USC00519397,4/21/2010,0.01,75
1098,USC00519397,4/22/2010,0,76
1099,USC00519397,4/23/2010,0.02,75
1100,USC00519397,4/24/2010,0,75
1101,USC00519397,4/25/2010,0,76
1102,USC00519397,4/26/2010,0,76
1103,USC00519397,4/28/2010,0,76
1104,USC00519397,4/30/2010,0,77
1105,USC00519397,5/1/2010,0,77
1106,USC00519397,5/2/2010,0.03,73
1107,USC00519397,5/3/2010,0.2,74
1108,USC00519397,5/4/2010,0.08,76
1109,USC00519397,5/5/2010,0.01,76
1110,USC00519397,5/6/2010,0,80
1111,USC00519397,5/7/2010,0.05,74
1112,USC00519397,5/8/2010,0,77
1113,USC00519397,5/9/2010,0,77
1114,USC00519397,5/10/2010,0,76
1115,USC00519397,5/11/2010,0,77
1116,USC00519397,5/13/2010,0,78
1117,USC00519397,5/14/2010,0,78
1118,USC00519397,5/15/2010,0,75
1119,USC00519397,5/16/2010,0.03,73
1120,USC00519397,5/17/2010,0,77
1121,USC00519397,5/18/2010,0,76
1122,USC00519397,5/19/2010,0,77
1123,USC00519397,5/21/2010,,77
1124,USC00519397,5/22/2010,0,78
1125,USC00519397,5/23/2010,0.05,75
1126,USC00519397,5/24/2010,0,77
1127,USC00519397,5/25/2010,0,77
1128,USC00519397,5/26/2010,0.02,77
1129,USC00519397,5/27/2010,0,76
1130,USC00519397,5/28/2010,0,75
1131,USC00519397,5/29/2010,0,77
1132,USC00519397,5/30/2010,0,77
1133,USC00519397,5/31/2010,0,77
1134,USC00519397,6/1/2010,0,78
1135,USC00519397,6/2/2010,0.01,76
1136,USC00519397,6/3/2010,0,78
1137,USC00519397,6/4/2010,0,76
1138,USC00519397,6/5/2010,0,77
1139,USC00519397,6/6/2010,0,78
1140,USC00519397,6/7/2010,0,77
1141,USC00519397,6/8/2010,0,78
1142,USC00519397,6/9/2010,0,78
1143,USC00519397,6/10/2010,0,79
1144,USC00519397,6/11/2010,0,78
1145,USC00519397,6/12/2010,0,78
1146,USC00519397,6/13/2010,0,78
1147,USC00519397,6/14/2010,0,77
1148,USC00519397,6/15/2010,0,78
1149,USC00519397,6/16/2010,0,78
1150,USC00519397,6/17/2010,0,77
1151,USC00519397,6/18/2010,0,77
1152,USC00519397,6/19/2010,0,82
1153,USC00519397,6/20/2010,0,78
1154,USC00519397,6/21/2010,0,78
1155,USC00519397,6/22/2010,0,78
1156,USC00519397,6/23/2010,0,78
1157,USC00519397,6/24/2010,0,78
1158,USC00519397,6/25/2010,0,77
1159,USC00519397,6/26/2010,0.02,76
1160,USC00519397,6/27/2010,0,78
1161,USC00519397,6/28/2010,0,78
1162,USC00519397,6/29/2010,0,78
1163,USC00519397,6/30/2010,0,78
1164,USC00519397,7/1/2010,0.01,75
1165,USC00519397,7/2/2010,0.05,77
1166,USC00519397,7/3/2010,0.09,77
1167,USC00519397,7/4/2010,0.05,78
1168,USC00519397,7/5/2010,0.06,78
1169,USC00519397,7/6/2010,0.08,76
1170,USC00519397,7/7/2010,0.08,74
1171,USC00519397,7/8/2010,0.03,76
1172,USC00519397,7/9/2010,0.06,74
1173,USC00519397,7/10/2010,0.09,76
1174,USC00519397,7/11/2010,0,78
1175,USC00519397,7/12/2010,0,77
1176,USC00519397,7/13/2010,0,80
1177,USC00519397,7/16/2010,,78
1178,USC00519397,7/17/2010,0.02,76
1179,USC00519397,7/18/2010,0,77
1180,USC00519397,7/19/2010,0.04,77
1181,USC00519397,7/21/2010,0,80
1182,USC00519397,7/22/2010,0,78
1183,USC00519397,7/24/2010,0,80
1184,USC00519397,7/25/2010,0,79
1185,USC00519397,7/26/2010,0,78
1186,USC00519397,7/27/2010,0,79
1187,USC00519397,7/28/2010,0,78
1188,USC00519397,7/29/2010,0,79
1189,USC00519397,7/30/2010,0,78
1190,USC00519397,7/31/2010,0.02,77
1191,USC00519397,8/1/2010,0.04,77
1192,USC00519397,8/2/2010,0.01,76
1193,USC00519397,8/3/2010,0.02,77
1194,USC00519397,8/4/2010,0.07,77
1195,USC00519397,8/5/2010,0.08,75
1196,USC00519397,8/6/2010,0.03,75
1197,USC00519397,8/7/2010,0,80
1198,USC00519397,8/8/2010,0,77
1199,USC00519397,8/9/2010,0,78
1200,USC00519397,8/10/2010,0,78
1201,USC00519397,8/11/2010,0,77
1202,USC00519397,8/12/2010,0,76
1203,USC00519397,8/13/2010,0,78
1204,USC00519397,8/14/2010,0,78
1205,USC00519397,8/15/2010,0.01,76
1206,USC00519397,8/16/2010,0,76
1207,USC00519397,8/17/2010,0.05,74
1208,USC00519397,8/18/2010,0,77
1209,USC00519397,8/19/2010,0,79
1210,USC00519397,8/20/2010,0,79
1211,USC00519397,8/21/2010,0,79
1212,USC00519397,8/22/2010,0,75
1213,USC00519397,8/23/2010,0.01,87
1214,USC00519397,8/24/2010,0,78
1215,USC00519397,8/25/2010,0.04,76
1216,USC00519397,8/26/2010,0.03,78
1217,USC00519397,8/27/2010,0,78
1218,USC00519397,8/28/2010,0.04,79
1219,USC00519397,8/29/2010,0,78
1220,USC00519397,8/30/2010,0,78
1221,USC00519397,8/31/2010,0,80
1222,USC00519397,9/1/2010,0,77
1223,USC00519397,9/2/2010,0.02,76
1224,USC00519397,9/3/2010,0.04,78
1225,USC00519397,9/4/2010,0.01,77
1226,USC00519397,9/5/2010,0,77
1227,USC00519397,9/6/2010,0,77
1228,USC00519397,9/7/2010,0.06,76
1229,USC00519397,9/8/2010,0,78
1230,USC00519397,9/9/2010,0,78
1231,USC00519397,9/10/2010,0,78
1232,USC00519397,9/11/2010,0.05,78
1233,USC00519397,9/12/2010,0,74
1234,USC00519397,9/13/2010,0,78
1235,USC00519397,9/14/2010,0,79
1236,USC00519397,9/15/2010,0,77
1237,USC00519397,9/16/2010,0,79
1238,USC00519397,9/17/2010,0,78
1239,USC00519397,9/19/2010,0,78
1240,USC00519397,9/20/2010,0,78
1241,USC00519397,9/21/2010,0,79
1242,USC00519397,9/22/2010,0.04,76
1243,USC00519397,9/23/2010,0,78
1244,USC00519397,9/24/2010,0,78
1245,USC00519397,9/25/2010,0,79
1246,USC00519397,9/26/2010,0,74
1247,USC00519397,9/27/2010,0,75
1248,USC00519397,9/28/2010,0,75
1249,USC00519397,9/29/2010,0,78
1250,USC00519397,9/30/2010,0.57,73
1251,USC00519397,10/1/2010,0.31,78
1252,USC00519397,10/2/2010,0.03,78
1253,USC00519397,10/3/2010,0,78
1254,USC00519397,10/4/2010,0.06,78
1255,USC00519397,10/5/2010,0,80
1256,USC00519397,10/6/2010,0,79
1257,USC00519397,10/7/2010,0,79
1258,USC00519397,10/8/2010,0,78
1259,USC00519397,10/9/2010,0,78
1260,USC00519397,10/10/2010,0,78
1261,USC00519397,10/11/2010,0,77
1262,USC00519397,10/12/2010,0,79
1263,USC00519397,10/13/2010,0,78
1264,USC00519397,10/15/2010,0,78
1265,USC00519397,10/16/2010,0,77
1266,USC00519397,10/17/2010,0,76
1267,USC00519397,10/18/2010,0,76
1268,USC00519397,10/19/2010,0.07,72
1269,USC00519397,10/20/2010,0,74
1270,USC00519397,10/21/2010,0,80
1271,USC00519397,10/22/2010,0,77
1272,USC00519397,10/23/2010,0,75
1273,USC00519397,10/24/2010,0,78
1274,USC00519397,10/25/2010,0,78
1275,USC00519397,10/26/2010,0.07,76
1276,USC00519397,10/27/2010,0.05,79
1277,USC00519397,10/28/2010,0.06,78
1278,USC00519397,10/29/2010,0.03,78
1279,USC00519397,10/30/2010,0.02,77
1280,USC00519397,10/31/2010,0,76
1281,USC00519397,11/1/2010,0.01,75
1282,USC00519397,11/2/2010,0.01,73
1283,USC00519397,11/4/2010,,73
1284,USC00519397,11/5/2010,0,77
1285,USC00519397,11/6/2010,0,76
1286,USC00519397,11/7/2010,0,77
1287,USC00519397,11/8/2010,0,76
1288,USC00519397,11/9/2010,0,73
1289,USC00519397,11/10/2010,0.23,73
1290,USC00519397,11/11/2010,0,77
1291,USC00519397,11/12/2010,0,77
1292,USC00519397,11/13/2010,0,76
1293,USC00519397,11/16/2010,0,73
1294,USC00519397,11/17/2010,0,73
1295,USC00519397,11/19/2010,,72
1296,USC00519397,11/20/2010,0.03,69
1297,USC00519397,11/21/2010,0,69
1298,USC00519397,11/22/2010,0,68
1299,USC00519397,11/23/2010,0,69
1300,USC00519397,11/24/2010,0,76
1301,USC00519397,11/25/2010,0,76
1302,USC00519397,11/27/2010,0,75
1303,USC00519397,11/28/2010,0,74
1304,USC00519397,11/29/2010,0,69
1305,USC00519397,11/30/2010,0,74
1306,USC00519397,12/1/2010,0.04,76
1307,USC00519397,12/3/2010,0,74
1308,USC00519397,12/4/2010,0,74
1309,USC00519397,12/6/2010,0,64
1310,USC00519397,12/7/2010,0,64
1311,USC00519397,12/8/2010,0,67
1312,USC00519397,12/9/2010,0,77
1313,USC00519397,12/10/2010,1.58,66
1314,USC00519397,12/11/2010,0.77,69
1315,USC00519397,12/12/2010,0,68
1316,USC00519397,12/13/2010,0,68
1317,USC00519397,12/14/2010,0,71
1318,USC00519397,12/15/2010,0,74
1319,USC00519397,12/16/2010,0,67
1320,USC00519397,12/17/2010,0,66
1321,USC00519397,12/18/2010,0,69
1322,USC00519397,12/19/2010,1.4,71
1323,USC00519397,12/23/2010,0,70
1324,USC00519397,12/24/2010,0,70
1325,USC00519397,12/26/2010,,74
1326,USC00519397,12/27/2010,0.13,74
1327,USC00519397,12/28/2010,0.55,71
1328,USC00519397,12/29/2010,0.06,75
1329,USC00519397,12/30/2010,0.01,75
1330,USC00519397,12/31/2010,0,72
1331,USC00519397,1/1/2011,0,69
1332,USC00519397,1/2/2011,0,72
1333,USC00519397,1/3/2011,0,74
1334,USC00519397,1/4/2011,0,73
1335,USC00519397,1/5/2011,0,64
1336,USC00519397,1/6/2011,0.01,65
1337,USC00519397,1/7/2011,0,68
1338,USC00519397,1/8/2011,0,62
1339,USC00519397,1/9/2011,0,58
1340,USC00519397,1/10/2011,0,73
1341,USC00519397,1/11/2011,0.09,60
1342,USC00519397,1/13/2011,,68
1343,USC00519397,1/14/2011,0.03,76
1344,USC00519397,1/15/2011,0,68
1345,USC00519397,1/16/2011,0,66
1346,USC00519397,1/17/2011,0,64
1347,USC00519397,1/18/2011,0,64
1348,USC00519397,1/19/2011,0.03,64
1349,USC00519397,1/20/2011,0,76
1350,USC00519397,1/21/2011,0,75
1351,USC00519397,1/22/2011,0,68
1352,USC00519397,1/23/2011,0,68
1353,USC00519397,1/24/2011,0,72
1354,USC00519397,1/25/2011,0,63
1355,USC00519397,1/27/2011,0,68
1356,USC00519397,1/28/2011,0,75
1357,USC00519397,1/29/2011,0,65
1358,USC00519397,1/30/2011,0,64
1359,USC00519397,1/31/2011,0.22,68
1360,USC00519397,2/1/2011,0,68
1361,USC00519397,2/2/2011,0,66
1362,USC00519397,2/3/2011,0,67
1363,USC00519397,2/4/2011,0,64
1364,USC00519397,2/5/2011,0,65
1365,USC00519397,2/6/2011,0,75
1366,USC00519397,2/7/2011,1.29,68
1367,USC00519397,2/8/2011,1.3,71
1368,USC00519397,2/9/2011,0,71
1369,USC00519397,2/10/2011,0.29,71
1370,USC00519397,2/12/2011,,68
1371,USC00519397,2/13/2011,0,68
1372,USC00519397,2/14/2011,0.04,72
1373,USC00519397,2/15/2011,0.05,70
1374,USC00519397,2/16/2011,0,74
1375,USC00519397,2/19/2011,0,67
1376,USC00519397,2/20/2011,1.72,71
1377,USC00519397,2/21/2011,0,71
1378,USC00519397,2/22/2011,0.82,71
1379,USC00519397,2/23/2011,0,74
1380,USC00519397,2/24/2011,0.2,68
1381,USC00519397,2/25/2011,0,71
1382,USC00519397,2/26/2011,0,69
1383,USC00519397,2/27/2011,0,69
1384,USC00519397,2/28/2011,0,68
1385,USC00519397,3/1/2011,0.1,68
1386,USC00519397,3/2/2011,0,72
1387,USC00519397,3/3/2011,0,74
1388,USC00519397,3/4/2011,0.88,72
1389,USC00519397,3/5/2011,0.4,69
1390,USC00519397,3/6/2011,0.03,70
1391,USC00519397,3/8/2011,,72
1392,USC00519397,3/9/2011,0.2,71
1393,USC00519397,3/10/2011,0.15,71
1394,USC00519397,3/12/2011,0,72
1395,USC00519397,3/13/2011,0,70
1396,USC00519397,3/14/2011,0,71
1397,USC00519397,3/16/2011,0,76
1398,USC00519397,3/17/2011,0.01,73
1399,USC00519397,3/18/2011,0.05,74
1400,USC00519397,3/19/2011,0.01,74
1401,USC00519397,3/20/2011,0.02,74
1402,USC00519397,3/21/2011,0,74
1403,USC00519397,3/22/2011,0.02,74
1404,USC00519397,3/23/2011,0,74
1405,USC00519397,3/24/2011,0.06,73
1406,USC00519397,3/25/2011,0,74
1407,USC00519397,3/26/2011,0,74
1408,USC00519397,3/27/2011,0,73
1409,USC00519397,3/28/2011,0.04,74
1410,USC00519397,3/30/2011,0,75
1411,USC00519397,3/31/2011,0,74
1412,USC00519397,4/1/2011,0.05,74
1413,USC00519397,4/2/2011,0.04,75
1414,USC00519397,4/3/2011,0,74
1415,USC00519397,4/4/2011,0,75
1416,USC00519397,4/5/2011,0,74
1417,USC00519397,4/6/2011,0.09,70
1418,USC00519397,4/7/2011,1.11,70
1419,USC00519397,4/8/2011,0.36,70
1420,USC00519397,4/9/2011,0.02,76
1421,USC00519397,4/10/2011,0,76
1422,USC00519397,4/11/2011,0,76
1423,USC00519397,4/12/2011,0,76
1424,USC00519397,4/13/2011,0,70
1425,USC00519397,4/15/2011,0,77
1426,USC00519397,4/16/2011,0.12,74
1427,USC00519397,4/17/2011,0,73
1428,USC00519397,4/18/2011,0,76
1429,USC00519397,4/19/2011,0,76
1430,USC00519397,4/20/2011,0,74
1431,USC00519397,4/21/2011,0,77
1432,USC00519397,4/22/2011,0,77
1433,USC00519397,4/23/2011,0,78
1434,USC00519397,4/24/2011,0,77
1435,USC00519397,4/25/2011,0,77
1436,USC00519397,4/26/2011,0,76
1437,USC00519397,4/27/2011,0,77
1438,USC00519397,4/29/2011,0,78
1439,USC00519397,4/30/2011,0.04,76
1440,USC00519397,5/1/2011,0,77
1441,USC00519397,5/2/2011,0,77
1442,USC00519397,5/3/2011,2.1,70
1443,USC00519397,5/4/2011,0.02,76
1444,USC00519397,5/5/2011,0.12,74
1445,USC00519397,5/6/2011,0.12,72
1446,USC00519397,5/7/2011,0.55,74
1447,USC00519397,5/8/2011,0.55,73
1448,USC00519397,5/9/2011,0.02,75
1449,USC00519397,5/10/2011,0.11,75
1450,USC00519397,5/11/2011,0.1,75
1451,USC00519397,5/12/2011,0,76
1452,USC00519397,5/13/2011,0,77
1453,USC00519397,5/14/2011,0,78
1454,USC00519397,5/15/2011,0,77
1455,USC00519397,5/16/2011,0,78
1456,USC00519397,5/17/2011,0,77
1457,USC00519397,5/18/2011,0,76
1458,USC00519397,5/19/2011,0.01,77
1459,USC00519397,5/20/2011,0,79
1460,USC00519397,5/21/2011,0,77
1461,USC00519397,5/22/2011,0.06,74
1462,USC00519397,5/23/2011,0.02,78
1463,USC00519397,5/24/2011,0,77
1464,USC00519397,5/25/2011,0,79
1465,USC00519397,5/26/2011,0,78
1466,USC00519397,5/27/2011,0,78
1467,USC00519397,5/28/2011,0,77
1468,USC00519397,5/29/2011,0,78
1469,USC00519397,5/30/2011,0,78
1470,USC00519397,5/31/2011,0.05,73
1471,USC00519397,6/1/2011,0.07,77
1472,USC00519397,6/2/2011,0,78
1473,USC00519397,6/3/2011,0.56,73
1474,USC00519397,6/4/2011,0.89,70
1475,USC00519397,6/5/2011,0,76
1476,USC00519397,6/6/2011,0,77
1477,USC00519397,6/7/2011,0,77
1478,USC00519397,6/8/2011,0.03,77
1479,USC00519397,6/9/2011,0.01,77
1480,USC00519397,6/10/2011,0,78
1481,USC00519397,6/11/2011,0,77
1482,USC00519397,6/12/2011,0,77
1483,USC00519397,6/13/2011,0,78
1484,USC00519397,6/14/2011,0,78
1485,USC00519397,6/15/2011,0,77
1486,USC00519397,6/17/2011,0,78
1487,USC00519397,6/18/2011,0,78
1488,USC00519397,6/19/2011,0.05,75
1489,USC00519397,6/20/2011,0.06,76
1490,USC00519397,6/21/2011,0.07,76
1491,USC00519397,6/24/2011,,77
1492,USC00519397,6/25/2011,0,78
1493,USC00519397,6/26/2011,0,76
1494,USC00519397,6/27/2011,0.01,77
1495,USC00519397,6/28/2011,0.01,75
1496,USC00519397,6/29/2011,0,77
1497,USC00519397,7/1/2011,0.05,77
1498,USC00519397,7/2/2011,0.02,78
1499,USC00519397,7/3/2011,0,78
1500,USC00519397,7/4/2011,0,78
1501,USC00519397,7/5/2011,0.01,78
1502,USC00519397,7/6/2011,0.01,76
1503,USC00519397,7/7/2011,0.01,76
1504,USC00519397,7/8/2011,0,77
1505,USC00519397,7/9/2011,0.03,77
1506,USC00519397,7/10/2011,0.02,77
1507,USC00519397,7/11/2011,0,78
1508,USC00519397,7/12/2011,0,77
1509,USC00519397,7/13/2011,0.15,73
1510,USC00519397,7/14/2011,0,77
1511,USC00519397,7/15/2011,0,79
1512,USC00519397,7/16/2011,0,78
1513,USC00519397,7/17/2011,0.04,77
1514,USC00519397,7/18/2011,0,78
1515,USC00519397,7/19/2011,0,78
1516,USC00519397,7/20/2011,0,76
1517,USC00519397,7/21/2011,0.03,77
1518,USC00519397,7/23/2011,0,78
1519,USC00519397,7/24/2011,0,77
1520,USC00519397,7/25/2011,0,78
1521,USC00519397,7/26/2011,0,78
1522,USC00519397,7/27/2011,0.04,77
1523,USC00519397,7/28/2011,0.09,77
1524,USC00519397,7/29/2011,0.04,78
1525,USC00519397,7/30/2011,0.12,80
1526,USC00519397,7/31/2011,0,77
1527,USC00519397,8/1/2011,0,78
1528,USC00519397,8/2/2011,0,77
1529,USC00519397,8/3/2011,0,78
1530,USC00519397,8/4/2011,0.02,76
1531,USC00519397,8/5/2011,0.03,78
1532,USC00519397,8/6/2011,0.01,77
1533,USC00519397,8/7/2011,0,78
1534,USC00519397,8/8/2011,0,78
1535,USC00519397,8/9/2011,0,79
1536,USC00519397,8/11/2011,0,78
1537,USC00519397,8/12/2011,0,78
1538,USC00519397,8/13/2011,0,76
1539,USC00519397,8/14/2011,0,78
1540,USC00519397,8/15/2011,0,77
1541,USC00519397,8/16/2011,0,79
1542,USC00519397,8/17/2011,0.02,77
1543,USC00519397,8/18/2011,0,77
1544,USC00519397,8/19/2011,0,78
1545,USC00519397,8/20/2011,0.07,77
1546,USC00519397,8/21/2011,0,77
1547,USC00519397,8/22/2011,0,78
1548,USC00519397,8/23/2011,0,78
1549,USC00519397,8/24/2011,0,79
1550,USC00519397,8/25/2011,0,78
1551,USC00519397,8/26/2011,0,78
1552,USC00519397,8/27/2011,0,79
1553,USC00519397,8/28/2011,0.05,76
1554,USC00519397,8/29/2011,0.1,76
1555,USC00519397,8/30/2011,0.02,78
1556,USC00519397,8/31/2011,0,79
1557,USC00519397,9/2/2011,0,79
1558,USC00519397,9/3/2011,0,78
1559,USC00519397,9/4/2011,0.03,77
1560,USC00519397,9/5/2011,0,77
1561,USC00519397,9/6/2011,0,73
1562,USC00519397,9/7/2011,0,73
1563,USC00519397,9/8/2011,0,77
1564,USC00519397,9/9/2011,0,79
1565,USC00519397,9/10/2011,0,77
1566,USC00519397,9/11/2011,0,77
1567,USC00519397,9/12/2011,0,85
1568,USC00519397,9/13/2011,0.01,77
1569,USC00519397,9/14/2011,0,76
1570,USC00519397,9/15/2011,0,79
1571,USC00519397,9/16/2011,0,79
1572,USC00519397,9/17/2011,0.02,77
1573,USC00519397,9/18/2011,0.04,77
1574,USC00519397,9/19/2011,0,82
1575,USC00519397,9/20/2011,0,80
1576,USC00519397,9/21/2011,0,79
1577,USC00519397,9/22/2011,0.03,78
1578,USC00519397,9/23/2011,0,76
1579,USC00519397,9/24/2011,0,77
1580,USC00519397,9/25/2011,0,74
1581,USC00519397,9/26/2011,0,77
1582,USC00519397,9/27/2011,0,78
1583,USC00519397,9/28/2011,0,77
1584,USC00519397,10/1/2011,0,78
1585,USC00519397,10/2/2011,0,78
1586,USC00519397,10/3/2011,0,80
1587,USC00519397,10/5/2011,,79
1588,USC00519397,10/6/2011,0,75
1589,USC00519397,10/7/2011,0.03,78
1590,USC00519397,10/8/2011,0,79
1591,USC00519397,10/9/2011,0,78
1592,USC00519397,10/10/2011,0.02,77
1593,USC00519397,10/11/2011,0.03,78
1594,USC00519397,10/12/2011,0,77
1595,USC00519397,10/13/2011,0,77
1596,USC00519397,10/14/2011,0.03,78
1597,USC00519397,10/15/2011,0.02,77
1598,USC00519397,10/16/2011,0,76
1599,USC00519397,10/17/2011,0.02,77
1600,USC00519397,10/18/2011,0.01,76
1601,USC00519397,10/19/2011,0,74
1602,USC00519397,10/20/2011,0,78
1603,USC00519397,10/21/2011,0,76
1604,USC00519397,10/22/2011,0,77
1605,USC00519397,10/23/2011,0,75
1606,USC00519397,10/24/2011,0.14,74
1607,USC00519397,10/25/2011,1.6,77
1608,USC00519397,10/26/2011,0.01,76
1609,USC00519397,10/27/2011,0,77
1610,USC00519397,10/28/2011,0.05,73
1611,USC00519397,10/29/2011,0.01,76
1612,USC00519397,10/30/2011,0,75
1613,USC00519397,10/31/2011,0.03,76
1614,USC00519397,11/1/2011,0.58,71
1615,USC00519397,11/2/2011,0.28,77
1616,USC00519397,11/3/2011,0.02,77
1617,USC00519397,11/4/2011,0.01,75
1618,USC00519397,11/5/2011,0,76
1619,USC00519397,11/6/2011,0,77
1620,USC00519397,11/7/2011,0,78
1621,USC00519397,11/8/2011,0,76
1622,USC00519397,11/9/2011,0.02,76
1623,USC00519397,11/10/2011,0,76
1624,USC00519397,11/11/2011,0.05,74
1625,USC00519397,11/12/2011,0,75
1626,USC00519397,11/13/2011,0,76
1627,USC00519397,11/14/2011,0,73
1628,USC00519397,11/15/2011,0,71
1629,USC00519397,11/16/2011,0,75
1630,USC00519397,11/17/2011,0,76
1631,USC00519397,11/18/2011,0,78
1632,USC00519397,11/19/2011,0,76
1633,USC00519397,11/20/2011,0,75
1634,USC00519397,11/21/2011,0.01,76
1635,USC00519397,11/22/2011,0.02,73
1636,USC00519397,11/23/2011,0.01,75
1637,USC00519397,11/24/2011,0,73
1638,USC00519397,11/25/2011,0.01,70
1639,USC00519397,11/26/2011,0.02,75
1640,USC00519397,11/27/2011,0.07,73
1641,USC00519397,11/28/2011,0,72
1642,USC00519397,11/29/2011,0,72
1643,USC00519397,11/30/2011,0.02,66
1644,USC00519397,12/1/2011,0.03,69
1645,USC00519397,12/2/2011,0.08,68
1646,USC00519397,12/3/2011,0,73
1647,USC00519397,12/4/2011,0,74
1648,USC00519397,12/5/2011,0,73
1649,USC00519397,12/6/2011,0,73
1650,USC00519397,12/7/2011,0,73
1651,USC00519397,12/8/2011,0,73
1652,USC00519397,12/9/2011,0.13,71
1653,USC00519397,12/10/2011,0.07,73
1654,USC00519397,12/11/2011,0.07,73
1655,USC00519397,12/12/2011,0.08,77
1656,USC00519397,12/13/2011,0.4,72
1657,USC00519397,12/14/2011,0.7,71
1658,USC00519397,12/15/2011,0,73
1659,USC00519397,12/16/2011,0.01,70
1660,USC00519397,12/17/2011,0.07,73
1661,USC00519397,12/18/2011,0.02,69
1662,USC00519397,12/19/2011,0.15,74
1663,USC00519397,12/20/2011,0.02,72
1664,USC00519397,12/21/2011,0.18,71
1665,USC00519397,12/22/2011,0.03,72
1666,USC00519397,12/23/2011,0.04,72
1667,USC00519397,12/24/2011,0.1,70
1668,USC00519397,12/25/2011,0.03,73
1669,USC00519397,12/26/2011,0,73
1670,USC00519397,12/27/2011,0,72
1671,USC00519397,12/28/2011,0,73
1672,USC00519397,12/29/2011,0,73
1673,USC00519397,12/30/2011,0,72
1674,USC00519397,12/31/2011,0.01,63
1675,USC00519397,1/1/2012,0,63
1676,USC00519397,1/2/2012,0,66
1677,USC00519397,1/3/2012,0,66
